row_number,text,classification
0,"""This movie should have never been made.<br /><br />What a shame of the budget.<br /><br />Please hire convincing actors, and make a proper movie. Very thin plot, and unconvincing lines. Almost hilarious, and that is a shame for an action movie.... <br /><br />Definitely not worth watching.<br /><br />They keep replaying the same ""shots"" of an Stealth airplane flying away. You have seen it ones, and that was not worth re-running 3 or 4 times.<br /><br />It is time for Steven Seagal to retire from movie-making.<br /><br />His movies are getting worser every time.<br /><br />Black Dawn, and Submerged were already bad, but this movie is even worse.""",0
1,"""This show is a perfect example of how the CBC should stick to either news, sports, or satirical sketch comedy. As a developer of situation comedy, CBC has shown it can combine the pizazz of ""King of Kensington"" with the belly laughs of ""The Beachcombers"". It is an embarrassment to great shows like ""Kids in the Hall"" and ""Second City"" that they have to share their comedic roots with this lame production.<br /><br />I have to admit, that I didn't give this show much of a chance right from when I first heard of its concept. To start, half of the concept is a direct attempt to rip-off one of the few sitcom successes in English-Canadian history, ""Corner Gas"". The rest of the concept--the cultural clash--is far from being original and is too often used as a crutch for screen writing laziness. The selection of the Muslim religion as the basis for the ""fish out of water"" characters seems to be a desperate attempt to be ""edgy"" and ""topical"", but comes off as forced. Some of the jokes that are based around the local's reaction to the newcomers are cringe inducing and thoroughly insulting to the intelligence of everyone involved, especially the audience.<br /><br />This show is a perfect example of how CBC just doesn't ""get it"" when it comes to creating Canadian content, especially when presenting Canada as a multicultural environment. Cultural diversity in Canada does not have to be presented in such a heavy-handed and forced way. It would be a refreshing change to see CBC introduce diversity into a television show without making the show all about said diversity. I doubt that CBC has sufficient sitcom talent to pull off something so subtle. A comparison could be made to the way diversity is depicted in Corner Gas--i.e. the aboriginal characters are not set apart by their ethnicity nor is their heritage used to generate story lines. More realistically, their lives and the other characters lives intertwine in a way that makes ethnicity no more significant than any of their other personal characteristics.<br /><br />That being said, even as a formulaic fish-out-of-water comedy this show fails. The acting is weak, the comic pacing all over the map, and the story premises that I saw were too far beyond the suspension of belief, even for a comedy. The only saving grace is the talented Derek McGrath, who is horribly wasted here. I doubt that even the addition of guest stars (Colin Mochrie, for example, as an Anglican archbishop) can save this dog. I decided to give the show a chance once the CBC's 'hype' had died down; but two episodes were all I could stand--I could almost feel my braincells shutting themselves down with each failed punchline. The time-slot would be better served by airing more Coronation Street, Air Farce re-runs, or Dr. Who. Even an infomercial would be an improvement.""",0
2,"""A family moves into a old house in Japan. But there's a catch it's haunted (BOO!!!). Aw, didn't mean to make you jump. It's only a review. Settle back down. Ahem, now anyways it's haunted by an old samurai who killed his wife & her lover in slow motion. This naturally makes a 3 minutes scene stretch out to about 7 or 8. Horrid acting. Horrid story. But How bad can it be you ask? Well it was SO bad my brain started to melt & leak out through my nose in thoughtful drips. It was SO bad whenever Doug McClure came on-screen I prayed that i had flashbacks of Small Wonder (Yes, i know Doug was in ""Out of this world"" & not ""small Wonder"", but it's pretty much the same damn show, & i can hum the ""small wonder"" theme better) There are movies that are so bad they're good. this isn't one of those<br /><br />Where i saw it: Showtime Beyond<br /><br />My Grade: F-<br /><br />Eye Candy: Mako Hattori gets topless,Susan George gets 2 love scenes ( one nude, one just topless)<br /><br />""",0
3,"""That this poor excuse for an amateur hour showcase was heralded at Sundance is a great example of what is wrong with most indie filmmakers these days.<br /><br />First of all, there is such a thing as the art of cinematography. Just picking up a 16mm camera and pointing it at whomever has a line does not make for a real movie.<br /><br />I guess we have to consider ourselves lucky the director didn't pick up someone's camcorder...<br /><br />Second, indie films are supposed to be about real people. There's nothing real in this film. None of the characters come across as being even remotely human.<br /><br />What they come across as being is figments of the imagination of a writer trying to impress his buddies by showing them how ""cool and edgy"" he is.<br /><br />Sorry, but this is not good writing, or good directing.<br /><br />What is left is a husk of a bad movie that somehow made its way to Sundance. Hard to believe this was one of the best films submitted...<br /><br />In any case, it made me loose what was left of my respect for the Sundance brand.""",0
4,"""I'd give this a negative rating if I could. I went into this movie not expecting much, but I had an open mind. The whole thing is stupid! The snakes are obviously fake and the first two things they bite are a boob and a guys johnson. Oh how original; if I were a 12 year old boy I might laugh at that. I have no idea how this movie became so popular. Seriously,the worst thing I've ever seen. I wasn't entertained, it wasn't funny,I wasn't even bored! I wasn't anything. It wasn't even so bad it was good, it's just bad. Ridiculous actually. Please do not waste your money on this movie. Don't even rent this movie. No clue how it's getting such a high rating.""",0
5,"""I tried to watch this movie twice and both times I still couldn't make it to the end credits. First time I managed to sit through the first fight sequence then lost interest. Second time I managed to force myself to digest over an hours worth of shoddy acting, lame SFX and extremely poor direction. Pales in comparison to the original.<br /><br />Anyone ever hear about the old ET Atari 2600 fiasco? For those who haven't let me fill you in. It's 1982...ET is one of the biggest box office smashes of all time...Atari decides to release a movie tie-in game on their 2600 home console system. To cut a long and financially painful story short the game flopped big time and resulted in thousands upon thousands of Atari 2600 ET games to be dumped in landfills because they couldn't even give them away let alone sell them.<br /><br />What does Universal Soldier: The Return have to do with this story? Look at the 3.2 rating and figure it out for yourself.<br /><br />Awful film...IMDb forced me to give it a 1 out of 10 because their rating systems doesn't go as low as 0 let alone into the negatives.""",0
6,"""I should never have started this film, and stopped watching after 3/4's. I missed the really botched ending. This film was a disappointment because it could have been so much better. It had nice atmosphere, a top notch cast and director, good locations. But a baaaaaad story line, a bad script. I paid attention to Kenneth Branagh's southern accent--it was better than the script. The plot was stupid--driven by characters acting in unreal and improbable ways. No one behaves like this outside of Hollywood scripts.""",0
7,"""This sorry excuse for a film reminded me a great deal of what I heard about ""Gigli"", that Ben and Jen flop earlier this Summer. ""The Order"" was clearly edited to such an unconscionable degree that the scenes, rather than forming a cohesive and provoking film, appeared to be a collection of disconnected sequences that did little to forward any semblance of a unified plot. Now, I'm a Heath Ledger fan (""10 Things I hate About You"", ""A Knight's Tale"" and particularly his supporting role in ""Monster's Ball""), but my man needs to find himself a better agent. Keep accepting scripts like ""The Order"" and ""Four Feathers"" and he's going to be on the fast track to movie oblivion.<br /><br />Here are the problems I had with the film. Firstly, the Director tried to make up for the inadequacies of his essential plot by introducing two other plot lines that seemingly had little if anything to do with, well, much of anything. Plot skeins involving the American trying to take over the Vatican and the Dark Pope, while mildly interesting, did nothing to reveal to the viewer anything about the main characters. The attempts to tie these threads together were pathetic at best. Secondly, please don't insult the intelligence of the viewer by inserting into the film scenes that are clearly obligatory. We had manufactured angst, manufactured love and most idiotically manufactured sex that seemed like a page right out of ""Matrix Reloaded"" with skull-numbing techno music. Rather than developing character, these elements seemed like the cheap devices they clearly were, a half-hearted attempt at putting popcorn-chewing adolescents in the seats. Thirdly, and most importantly, this movie seemed to ha ve an intriguing concept. We have scandal, we have religion and we have supernatural forces at play. Why then do we learn almost nothing about anyone's background? We learn a little about Alex, but even he gives up the passion of the priesthood to sleep with a woman after two days, a woman who tried to kill him during an exorcism at some point in the past. And Alex is the most developed, if you can call it that, character in the entire film.<br /><br />As the cliche goes nowadays, if you're going to see one movie this year, make sure it's not this one. There's about ten interesting minutes out of the intolerable 101 minute affair. The only thing that saved me was going with a girl who I'm rather fond of.<br /><br />1 out of 10. I'm disappointed. File this one firmly under -had potential but blew it on over editing and bad directing-. Heath my man, go back to Monster's Ball-like cameos. They really suit you.""",0
8,"""There is no doubt that this film has an impressive cast but unfortunately this doesn't help with the major downsides to the movie. I never understand why directors ask actors/actresses to use accents not their own when it is obvious to everyone they can't convince. Fiennes just can't do Irish and Fitzgerald isn't much better at Russian. When the voice is wrong then no matter how good the acting the character will never be convincing. As the for the major problem....the plot....was there one? I guess there was some sort of storyline involved but it was so full of holes that I just couldn't wait for the film to end...it was ridiculous. Save 90 minutes of your life and don't watch this movie!""",0
9,"""What happened in the making of this movie so that it ended up as the total mess it is? Just one year after ""The Breakfast Club"", a brilliant movie with many of the same actors as in ""St. Elmo's Fire"" (who by the way looked and acted in the latter more like they were still the high school misfits from the former but without the grip or discipline in portraying their roles.<br /><br />Was it the directing or the writing. Since it was the same person (Joel Schumacher) it must be both. But then Schumacher has since given us ""The Phantom of the Opera"", ""Phone Booth"", ""A Time to Kill"", and two Batman movies, ""Batman and Robin"" and ""Batman Forever"" which range from good to great directing. Something went wrong on ""StEF"" because it has no genius whatsoever, no comedy worth anything, and is very far off the mark on what is truly valuable in life. <br /><br />Example: The character Wendy (a rich little girl with a heart to do good and help the less fortunate played by Mare Winningham ) reveals to Billy (an unruly slob who cheats on his wife and on his girlfriends, drinks far too much and has no sense of order in his life appropriately played by Rob Lowe) that she is still a virgin. Billy truly see a challenge and possible conquest but Wendy ""is not ready"". Wendy, in fact is so not ready it is hard to believe she is in this clique of friends. Later in the story, when Billy whose wife has left him taken his child and married another has somehow drawn some of the strings of his life together. Billy is leaving for New York, deserting and abandoning all parental responsibility for his baby daughter, he convinces Wendy that her virginity would be the perfect ""going away gift"" from her to him. And Wendy, who works as a social worker helping broken families, seems not to be phased at all by this despot. Give me a break. The one thing she can only give once, she gives to a loser who is leaving his family and friends? Schumacher frames this scene as a wonderful and touching moment.<br /><br />Many more example exist where there is a complete disconnect between what is real and of value being tossed overboard and the acts are made to look like virtue.<br /><br />I suppose some may say that ""that was the 80's"" but I remember it was in the ""80's"" that men began to be held responsible for the children they fathered whether in a marriage or out.<br /><br />I think this movie is so bad because it is so out of sync with what it really valuable and right.<br /><br />As for the technique (not the story), it was terrible as well. It is disjointed and feels like a 3 hour movie that has been edited to 1 hour and 40 minutes. Transitions and jumps in time simply do not make sense. Pick up what is on the editing room floor, put it back in and the movie would probably flow much better...but it still is a horrible movie.<br /><br />Maybe Schumacher has become a better and stronger director since 1986 (he must have) or maybe he was over his head when it came to writing the screenplay for St Elmo's Fire or maybe this group of actors took over the set and went their own way - that is what I really think happened.""",0
